client_hash,transaction_hash,merchant_name,merchant_id,amount_cents,amount_cents,emitted_at,settled_at,deleted_at,status
ad83f05b4eb6221d99e6f0dd0dfbcd7c,149763463b0010811545c80892367a23,Uber BV,526567000002183,100,EUR,2017-03-14 10:31:16,,2017-03-14 10:31:29.482964,3
a61b85075af47cd0138aed36224ce211,24d20efa5d46362edc3ae93563bd014f,UBER BV,257854000256959,9859,EUR,2017-03-21 22:10:20,,2017-03-21 22:12:15.982355,3
258c7616bec9938c472cf393c0c0db41,0edd6c1c87962d82fe485cac3066a9ab,DUCK ME CAPITOLE,08804049,1200,EUR,2017-10-24 17:16:51,2017-10-25 05:16:00,,1
a61b85075af47cd0138aed36224ce211,05a98b25107aa1c94f9afc8bc67b1836,AUTOLIB',6242968,8072,EUR,2017-08-08 14:57:00,2017-08-09 10:30:00,,1
ad83f05b4eb6221d99e6f0dd0dfbcd7c,acdc5d1e4a288a788128564f08a4705a,RATP,0133172,1450,EUR,2017-04-04 03:49:35,2017-04-04 02:49:46,,1
2178b508f5829c7657591c6d447a8e15,d258fbe5e372ae2fdae98ef989c9af79,UNITO SYNC,000479161190992,849,EUR,2017-10-18 16:53:28,2017-10-20 04:06:11,,1
ad83f05b4eb6221d99e6f0dd0dfbcd7c,dc11fa3033ddda2ba6c87da84d33e35b,UBER BV,257854000256959,100,EUR,2017-03-14 10:36:21,,2017-03-25 00:21:52.274964,3
a61b85075af47cd0138aed36224ce211,98ed79e836820266e44dc19ddb6e6022,SOCIETE GENERALE,003510000912423,15000,EUR,2017-10-24 18:10:46,2017-10-26 04:04:41,,1
a61b85075af47cd0138aed36224ce211,d1fa8fabe9244c15df74106a69e3b756,UBER FR MAR18 BW57F HE,526567000002183,4075,EUR,2017-03-18 10:46:28,,2017-03-18 10:51:33.180931,3
ad83f05b4eb6221d99e6f0dd0dfbcd7c,1c71b40d1a67d47d2dba90236f378169,LE STAND,05027997,3450,EUR,2017-10-27 20:37:57,2017-10-31 01:05:30,,1
eb88281d1fd6a222f1980f69f0e093a3,228f8cd8c64a31d01337fe8b717f8c2a,STUART,020097191,1631,EUR,2017-08-10 08:12:08,2017-08-11 10:59:52,,1
a61b85075af47cd0138aed36224ce211,c7dbbf744aee7937257ce9d2ca3fead6,AMAZON EU SARL,12090401010,100,EUR,2017-04-11 09:28:51,,2017-04-21 23:22:17.963166,3
d0795b20369d0cd5203c7d19dbcf6d85,80678538a174b13e502f9946033f36fe,YUMCHAA,520334508561883,685,EUR,2017-10-18 16:44:40,2017-10-19 12:07:35,,1
2178b508f5829c7657591c6d447a8e15,b067e7fc90e948b0cf27a6b8d900933f,TRAINLINE,4205282,6700,EUR,2017-07-23 18:49:20,2017-07-25 06:00:50,,1
a61b85075af47cd0138aed36224ce211,7fb9594845acd13c597a971c13f1dfd2,AUTOLIB',6242968,3405,EUR,2017-08-03 14:32:50,2017-08-04 12:54:27,,1
2178b508f5829c7657591c6d447a8e15,d0d514b565e8784c48e55a81e726416f,LA POSTE L691420,0769142,437,EUR,2017-09-15 07:34:24,2017-09-18 07:55:28,,1
a61b85075af47cd0138aed36224ce211,bd3390eef1185a86da39872fa98faba2,UBER FR MAR26 2ZQS2 HE,526567000002183,1496,EUR,2017-03-27 11:27:48,2017-03-27 10:28:50,,1
14f606f28acf59fbcde82a2c39824f97,284acf6cad8fabe53625e4831c917788,GREYHOUND LINES CNP,222220164062098,3950,EUR,2017-08-07 15:13:01,2017-08-08 03:39:17,,1
8ed48224baea7f4204735480e9d828a9,fbc55f5a66c6c2a33e68cf57787b81d8,DELIVEROOFR,2288442BPGZBFYS,2190,EUR,2017-10-24 18:16:18,2017-10-25 16:08:53,,1
14f606f28acf59fbcde82a2c39824f97,5d679e4311ad8f6763b820e8de18c47e,GREYHOUND LINES CNP,222220241057091,6740,EUR,2017-08-07 15:06:47,2017-08-09 03:11:30,,1
f8a5e537ccf066aca3694408e21f2ab0,67998c9db02563a6d7f21250c5e9ba07,NYX*SNACK AND CO,173490000000001,150,EUR,2017-09-20 14:54:57,2017-09-21 11:09:53,,1
714349de24dc5c3678277d448788cb0d,9fd6031a100a7c2e8d5a94a88b956c6f,OVH,*42476141900045,600,EUR,2017-04-07 05:06:37,2017-04-07 04:07:28,,1
a61b85075af47cd0138aed36224ce211,e384d998bca20a0a6d1c3169f0afc382,AXA PPP INTERNATIONAL,8929077,3,EUR,2017-03-27 09:01:52,2017-03-28 09:54:40,,1
a61b85075af47cd0138aed36224ce211,87d863304529da29dfc3110abdf5b4cc,UBER FR AUG29 55JQV HE,526567000002183,2698,EUR,2017-08-29 17:33:04,2017-08-30 03:32:47,,1
a61b85075af47cd0138aed36224ce211,6c27c649358f0e66a1f6449b0257f1f2,AIR FRANCE,4200410,11017,EUR,2017-03-24 11:48:01,2017-03-24 11:48:57,,1
ad83f05b4eb6221d99e6f0dd0dfbcd7c,1bc8af8e3c5217123b4b93f08e21bda3,PUB 27,5803476,3310,EUR,2017-10-13 11:32:31,2017-10-16 15:47:17,,1
20102941b3fc688c28fdb201f37fa794,1c17351806bf3b02caf61cec9bdc4600,MICROSOFT   *OFFICE?36,000311200309889,700,EUR,2017-09-18 15:50:57,2017-09-19 04:23:11,,1
69555a7d9f2a3ba92480d2372cec0f42,315165e88336f56b52013735cc50b6d0,CITYSCOOT,2786912,2128,EUR,2017-08-04 11:49:08,2017-08-07 06:58:58,,1
ad83f05b4eb6221d99e6f0dd0dfbcd7c,006fdfbf247f0d5b933dba8298c569de,Uber BV,526567000002183,100,EUR,2017-03-19 16:00:07,,2017-03-19 16:00:16.611383,3
714349de24dc5c3678277d448788cb0d,8e745192906d01930961bd0ae386bd1a,AUTOROUTE DU SUD,0804990,180,EUR,2017-08-04 15:38:15,2017-08-08 04:15:49,,1
c875090f7528b73ff577423b9e38da82,3c0630837d19b86275c8dbefa412dad3,SAPN,4220998,610,EUR,2017-08-10 10:08:03,2017-08-14 06:06:46,,1
460bd0259e5ff541efa088e880e8d0f7,184ab1ad24c8c700ad5e8bfd56559676,NOIR ET BLANC,08386831,2750,EUR,2017-10-17 09:03:04,2017-10-18 04:13:37,,1
f8a5e537ccf066aca3694408e21f2ab0,b5fd60d97dde418e6741031bee6c1726,GITHUB.COM  72JJ,000445195071995,584,EUR,2017-09-20 14:39:57,2017-09-22 03:04:13,,1
a61b85075af47cd0138aed36224ce211,c442db893e4f4e670eae38b9c40d46c4,UBER FR MAR19 VIM2O HE,526567000002183,1215,EUR,2017-03-19 20:32:17,,2017-03-19 20:36:50.153577,3
a61b85075af47cd0138aed36224ce211,a5fd6fd4f89a3bdcde9daeb0ad1712bb,GOOGLE *SERVICES,249018000020254,100,EUR,2017-03-12 10:53:12,,2017-03-12 11:08:23.036677,3
714349de24dc5c3678277d448788cb0d,4212ed30b574795e5cf79d7107ff6165,AUTOROUTE DU SUD,0804990,480,EUR,2017-08-04 16:31:13,2017-08-08 04:15:49,,1
99cd8fa91bba2ba3fbd4ffb8543ccec1,b82a38da627eb038122e0372f4f6a1f0,ZENDESK INC,011823226,6000,EUR,2017-05-04 20:01:33,2017-05-08 08:01:38,,1
d90c88e25326d649bfa80c7fc3d5cc96,3eefc189798746ca033b45edb3baa4d0,Amazon Marketplace FR,273141000156182,9895,EUR,2017-09-15 07:57:28,2017-09-18 06:36:46,,1
714349de24dc5c3678277d448788cb0d,d5205fabb8ba9873c4cf30989d4d3721,WWW.ISTOCK.COM,247948000254292,2400,EUR,2017-04-10 13:18:14,2017-04-11 11:13:04,,1
a61b85075af47cd0138aed36224ce211,0ff2e86b03f8d3e518583a389d16db73,NAVIGO ANNUEL,4526883,14812,EUR,2017-06-13 15:32:43,2017-06-16 03:50:35,,1
6fd8735d9b503091b73d46648551db94,e84a973f70269d5abed3bbf672430e6c,MONPORTRAITPRO,081511094500012,3900,EUR,2017-09-12 13:40:36,2017-09-15 05:14:49,,1
ebe1d681b92fd27b8137de9ab6314cb7,d804ae5bdb37413f409b09e78d9be648,GOOGLE *SERVICES,249018000020254,100,EUR,2017-04-21 12:49:01,,2017-04-21 13:04:15.155973,3
5713b1421aa65ce0a6788eb13f753626,05ee042e46d8cf58633d4c7e91187a2d,SQUARESPACE INC.,000479161198995,1500,EUR,2017-10-18 17:22:52,2017-10-19 04:27:56,,1
99cd8fa91bba2ba3fbd4ffb8543ccec1,19214dec632b80fa7e498a60e118f357,OVH,*42476141900045,100,EUR,2017-03-15 09:35:10,,2017-03-26 00:21:52.114576,3
cd5938fd942d7a4316926cabf53586d3,379e62543a628d9cdb8f055d2038c137,CARREFOUR ISSY,2519985,1125,EUR,2017-10-18 17:13:37,2017-10-19 11:09:01,,1
99cd8fa91bba2ba3fbd4ffb8543ccec1,3d9af3a46c6a4ed77d1537a7a7f9e0fe,GOOGLE *SERVICES,249018000020254,100,EUR,2017-03-15 09:39:45,,2017-03-15 09:55:00.577618,3
714349de24dc5c3678277d448788cb0d,3e725e264188b428ef24fa7abfee4885,AUTOROUTE DU SUD,0804990,180,EUR,2017-08-04 19:54:57,2017-08-08 04:15:49,,1
ad83f05b4eb6221d99e6f0dd0dfbcd7c,274bca5f63f04c0585187900f41a2f64,NS DEN HAAG,84393971,4852,EUR,2017-10-18 17:40:03,2017-10-19 04:27:50,,1
d30a4fa029dbfb165d6ec333bab35c2a,f48d89d568f53823233da9e62e4c626f,Amazon web services,185119000762203,94,EUR,2017-04-13 11:12:05,,2017-04-23 23:22:30.10835,3
